Index,Actual Valence,Predicted Valence
ML1361,positive,positive
ML1362,positive,positive
ML1363,negative,negative
ML1364,negative,negative
ML1365,negative,negative
ML1366,positive,positive
ML1367,negative,negative
ML1368,positive,positive
ML1369,negative,negative
ML1370,positive,positive
ML1371,positive,positive
ML1372,positive,positive
ML1373,positive,positive
ML1374,negative,negative
ML1375,negative,negative
ML1376,positive,positive
ML1377,negative,negative
ML1378,negative,negative
ML1379,negative,negative
ML1380,positive,positive
ML1381,positive,positive
ML1382,positive,positive
ML1383,positive,positive
ML1384,positive,positive
ML1385,positive,positive
ML1386,positive,positive
ML1387,negative,negative
ML1388,negative,negative
ML1389,positive,positive
ML1390,positive,positive
ML1391,positive,positive
ML1392,negative,negative
ML1393,negative,negative
ML1394,negative,negative
ML1395,positive,positive
ML1396,positive,positive
ML1397,positive,positive
ML1398,positive,positive
ML1399,positive,positive
ML1400,positive,positive
ML1401,negative,negative
ML1402,positive,positive
ML1403,negative,negative
ML1404,negative,negative
ML1405,positive,positive
ML1406,negative,negative
ML1407,positive,positive
ML1408,positive,positive
ML1409,positive,positive
ML1410,positive,positive
ML1411,negative,negative
ML1412,negative,negative
ML1413,negative,negative
ML1414,negative,negative
ML1415,positive,positive
ML1416,negative,negative
ML1417,negative,negative
ML1418,positive,positive
ML1419,negative,negative
ML1420,positive,positive
ML1421,negative,negative
ML1422,negative,negative
ML1423,negative,negative
ML1424,positive,positive
ML1425,positive,positive
ML1426,negative,negative
ML1427,positive,positive
ML1428,positive,positive
ML1429,positive,positive
ML1430,positive,positive
ML1431,positive,positive
ML1432,negative,negative
ML1433,positive,positive
ML1434,negative,negative
ML1435,positive,positive
ML1436,positive,positive
ML1437,positive,positive
ML1438,negative,negative
ML1439,negative,negative
ML1440,positive,positive
ML1441,positive,positive
ML1442,negative,negative
ML1443,positive,positive
ML1444,positive,positive
ML1445,positive,positive
ML1446,negative,negative
ML1447,positive,positive
ML1448,positive,positive
ML1449,positive,positive
ML1450,negative,negative
ML1451,negative,negative
ML1452,negative,negative
ML1453,negative,negative
ML1454,positive,positive
ML1455,negative,negative
ML1456,negative,negative
ML1457,positive,positive
ML1458,positive,positive
ML1459,negative,negative
ML1460,negative,negative
ML1461,negative,negative
ML1462,negative,negative
ML1463,negative,negative
ML1464,positive,positive
ML1465,negative,negative
ML1466,negative,negative
ML1467,negative,negative
ML1468,positive,positive
ML1469,negative,negative
ML1470,negative,negative
ML1471,positive,positive
ML1472,negative,negative
ML1473,positive,positive
ML1474,negative,negative
ML1475,negative,negative
ML1476,negative,negative
ML1477,negative,negative
ML1478,positive,positive
ML1479,positive,positive
ML1480,positive,positive
ML1481,positive,positive
ML1482,negative,negative
ML1483,negative,negative
ML1484,negative,negative
ML1485,positive,positive
ML1486,negative,negative
ML1487,positive,positive
ML1488,negative,negative
ML1489,negative,negative
ML1490,positive,positive
ML1491,negative,negative
ML1492,positive,positive
ML1493,negative,negative
ML1494,negative,negative
ML1495,positive,positive
ML1496,positive,positive
ML1497,positive,positive
ML1498,negative,negative
ML1499,positive,positive
ML1500,positive,positive
ML1501,negative,negative
ML1502,positive,positive
ML1503,positive,positive
ML1504,negative,negative
ML1505,negative,negative
ML1506,positive,positive
ML1507,negative,negative
ML1508,positive,positive
ML1509,negative,negative
ML1510,negative,negative
ML1511,positive,positive
ML1512,negative,negative
ML1513,negative,negative
ML1514,positive,positive
ML1515,positive,positive
ML1516,positive,positive
ML1517,negative,negative
ML1518,positive,positive
ML1519,negative,negative
ML1520,negative,negative
ML1521,positive,positive
ML1522,negative,negative
ML1523,negative,positive
ML1524,negative,negative
ML1525,positive,positive
ML1526,negative,negative
ML1527,negative,negative
ML1528,negative,negative
ML1529,negative,negative
ML1530,negative,negative
ML1531,positive,positive
ML1532,positive,positive
ML1533,negative,negative
ML1534,negative,negative
ML1535,negative,negative
ML1536,positive,positive
ML1537,negative,negative
ML1538,negative,negative
ML1539,negative,negative
ML1540,positive,positive
ML1541,negative,negative
ML1542,negative,negative
ML1543,negative,negative
ML1544,negative,negative
ML1545,negative,negative
ML1546,negative,negative
ML1547,negative,negative
ML1548,negative,negative
ML1549,positive,positive
ML1550,negative,negative
ML1551,positive,positive
ML1552,negative,negative
ML1553,negative,negative
ML1554,positive,positive
ML1555,negative,negative
ML1556,positive,positive
ML1557,negative,negative
ML1558,negative,negative
ML1559,positive,positive
ML1560,negative,negative
ML1561,positive,positive
ML1562,positive,positive
ML1563,positive,positive
ML1564,positive,positive
ML1565,negative,negative
ML1566,negative,negative
ML1567,positive,positive
ML1568,positive,positive
ML1569,positive,positive
ML1570,positive,positive
ML1571,negative,negative
ML1572,positive,positive
ML1573,positive,positive
ML1574,positive,positive
ML1575,positive,positive
ML1576,positive,positive
ML1577,positive,positive
ML1578,positive,positive
ML1579,positive,positive
ML1580,positive,positive
ML1581,positive,positive
ML1582,negative,negative
ML1583,negative,negative
ML1584,negative,negative
ML1585,positive,positive
ML1586,positive,positive
ML1587,negative,negative
ML1588,positive,positive
ML1589,positive,positive
ML1590,negative,negative
ML1591,negative,negative
ML1592,negative,negative
ML1593,negative,negative
ML1594,negative,negative
ML1595,positive,positive
ML1596,negative,negative
ML1597,negative,negative
ML1598,negative,negative
ML1599,negative,negative
ML1600,negative,negative
ML1601,negative,negative
ML1602,negative,negative
ML1603,positive,positive
ML1604,negative,negative
ML1605,negative,negative
ML1606,positive,positive
ML1607,negative,negative
ML1608,negative,negative
ML1609,negative,negative
ML1610,negative,negative
ML1611,positive,positive
ML1612,negative,negative
ML1613,negative,negative
ML1614,negative,negative
ML1615,negative,negative
ML1616,positive,positive
ML1617,negative,negative
ML1618,negative,negative
ML1619,negative,negative
ML1620,negative,negative
ML1621,negative,negative
ML1622,negative,negative
ML1623,negative,negative
ML1624,negative,negative
ML1625,positive,positive
ML1626,positive,positive
ML1627,positive,positive
ML1628,positive,positive
ML1629,positive,positive
ML1630,positive,positive
ML1631,positive,positive
ML1632,positive,positive
ML1633,positive,positive
ML1634,positive,positive
ML1635,positive,positive
ML1636,positive,positive
ML1637,positive,positive
ML1638,positive,positive
ML1639,positive,positive
ML1640,positive,positive
ML1641,negative,positive
ML1642,positive,positive
ML1643,positive,positive
ML1644,positive,positive
ML1645,positive,positive
ML1646,negative,negative
ML1647,positive,positive
ML1648,negative,negative
ML1649,positive,positive
ML1650,positive,positive
ML1651,negative,negative
ML1652,negative,negative
ML1653,negative,negative
ML1654,negative,negative
ML1655,positive,positive
ML1656,positive,positive
ML1657,negative,positive
ML1658,positive,positive
ML1659,positive,positive
ML1660,negative,negative
ML1661,negative,negative
ML1662,negative,negative
ML1663,negative,positive
ML1664,positive,positive
ML1665,negative,negative
ML1666,positive,positive
ML1667,negative,negative
ML1668,negative,negative
ML1669,positive,positive
ML1670,positive,positive
ML1671,positive,positive
ML1672,positive,positive
ML1673,positive,positive
ML1674,positive,positive
ML1675,negative,negative
ML1676,positive,positive
ML1677,positive,positive
ML1678,positive,positive
ML1679,positive,positive
ML1680,positive,positive
ML1681,positive,positive
ML1682,positive,positive
ML1683,positive,positive
ML1684,negative,positive
ML1685,positive,positive
ML1686,negative,negative
ML1687,positive,positive
ML1688,positive,positive
ML1689,negative,negative
ML1690,negative,positive
ML1691,negative,negative
ML1692,negative,negative
ML1693,negative,negative
ML1694,negative,negative
ML1695,negative,negative
ML1696,negative,negative
ML1697,positive,positive
ML1698,negative,negative
ML1699,negative,negative
ML1700,negative,negative
ML1701,negative,negative
ML1702,negative,negative
ML1703,positive,positive
ML1704,negative,negative
ML1705,positive,positive
ML1706,positive,positive
ML1707,positive,positive
ML1708,positive,positive
ML1709,positive,positive
ML1710,negative,positive
ML1711,positive,positive
ML1712,positive,positive
ML1713,negative,negative
ML1714,negative,negative
ML1715,negative,negative
ML1716,negative,negative
ML1717,negative,negative
ML1718,positive,positive
ML1719,negative,negative
ML1720,negative,negative
ML1721,positive,positive
ML1722,positive,positive
ML1723,negative,negative
ML1724,negative,negative
ML1725,positive,positive
ML1726,negative,positive
ML1727,negative,negative
ML1728,negative,negative
ML1729,negative,negative
ML1730,negative,negative
ML1731,positive,positive
ML1732,positive,positive
ML1733,negative,positive
ML1734,negative,negative
ML1735,positive,positive
ML1736,negative,positive
ML1737,negative,negative
ML1738,positive,positive
ML1739,positive,positive
ML1740,negative,negative
ML1741,negative,negative
ML1742,negative,negative
ML1743,negative,negative
ML1744,positive,positive
ML1745,negative,negative
ML1746,positive,positive
ML1747,negative,negative
ML1748,positive,positive
ML1749,positive,positive
ML1750,negative,negative
ML1751,negative,negative
ML1752,positive,positive
ML1753,positive,positive
ML1754,negative,negative
ML1755,positive,positive
ML1756,positive,positive
ML1757,negative,negative
ML1758,negative,negative
ML1759,negative,negative
ML1760,negative,negative
ML1761,negative,negative
ML1762,negative,negative
ML1763,negative,negative
ML1764,positive,positive
ML1765,negative,negative
ML1766,negative,positive
ML1767,negative,negative
ML1768,negative,negative
ML1769,negative,negative
ML1770,negative,negative
ML1771,positive,positive
ML1772,negative,negative
ML1773,negative,negative
ML1774,negative,negative
ML1775,positive,positive
ML1776,negative,negative
ML1777,negative,negative
ML1778,negative,negative
ML1779,positive,positive
ML1780,negative,negative
ML1781,negative,negative
ML1782,negative,negative
ML1783,negative,negative
ML1784,negative,negative
ML1785,positive,positive
ML1786,negative,negative
ML1787,negative,negative
ML1788,positive,positive
ML1789,positive,positive
ML1790,negative,positive
ML1791,negative,negative
ML1792,negative,negative
ML1793,negative,negative
ML1794,negative,negative
ML1795,negative,negative
ML1796,negative,negative
ML1797,negative,negative
ML1798,positive,positive
ML1799,negative,negative
ML1800,negative,negative
ML1801,negative,negative
ML1802,negative,negative
ML1803,positive,positive
ML1804,negative,negative
ML1805,negative,negative
ML1806,negative,negative
ML1807,negative,negative
ML1808,negative,negative
ML1809,negative,negative
ML1810,negative,negative
ML1811,negative,negative
ML1812,negative,negative
ML1813,positive,positive
ML1814,negative,negative
ML1815,positive,positive
ML1816,positive,positive
ML1817,negative,negative
ML1818,negative,negative
ML1819,negative,negative
ML1820,positive,positive
ML1821,positive,positive
ML1822,negative,positive
ML1823,negative,negative
ML1824,negative,negative
ML1825,negative,negative
ML1826,negative,negative
ML1827,negative,negative
ML1828,negative,negative
ML1829,positive,positive
ML1830,positive,positive
ML1831,positive,positive
ML1832,negative,positive
ML1833,positive,positive
ML1834,positive,positive
ML1835,negative,negative
ML1836,negative,negative
ML1837,positive,positive
ML1838,negative,negative
ML1839,negative,negative
ML1840,negative,negative
ML1841,negative,negative
ML1842,negative,negative
ML1843,positive,positive
ML1844,negative,negative
ML1845,negative,negative
ML1846,negative,negative
ML1847,negative,negative
ML1848,negative,negative
ML1849,negative,negative
ML1850,positive,positive
ML1851,negative,positive
ML1852,negative,negative
ML1853,negative,negative
ML1854,negative,negative
ML1855,negative,negative
ML1856,negative,negative
ML1857,negative,negative
ML1858,negative,negative
ML1859,negative,negative
ML1860,positive,positive
ML1861,negative,negative
ML1862,negative,negative
ML1863,positive,positive
ML1864,negative,negative
ML1865,positive,positive
ML1866,negative,negative
ML1867,negative,negative
ML1868,positive,positive
ML1869,negative,negative
ML1870,positive,positive
ML1871,negative,negative
ML1872,negative,negative
ML1873,negative,negative
ML1874,negative,negative
ML1875,positive,positive
ML1876,negative,negative
ML1877,negative,negative
ML1878,positive,positive
ML1879,positive,positive
ML1880,positive,positive
ML1881,positive,positive
ML1882,negative,negative
ML1883,negative,negative
ML1884,positive,positive
ML1885,positive,positive
ML1886,positive,positive
ML1887,positive,positive
ML1888,positive,positive
ML1889,positive,positive
ML1890,positive,positive
ML1891,positive,positive
ML1892,positive,positive
ML1893,positive,negative
ML1894,positive,positive
ML1895,negative,negative
ML1896,positive,positive
ML1897,positive,positive
ML1898,positive,positive
ML1899,negative,negative
ML1900,positive,positive
ML1901,positive,positive
ML1902,negative,negative
ML1903,negative,negative
ML1904,negative,negative
ML1905,negative,negative
ML1906,negative,negative
ML1907,negative,positive
ML1908,negative,negative
ML1909,negative,negative
ML1910,negative,negative
ML1911,positive,positive
ML1912,negative,negative
ML1913,positive,positive
ML1914,negative,negative
ML1915,negative,negative
ML1916,negative,negative
ML1917,negative,negative
ML1918,negative,negative
ML1919,positive,positive
ML1920,negative,negative
ML1921,negative,negative
ML1922,negative,negative
ML1923,negative,negative
ML1924,negative,negative
ML1925,negative,negative
ML1926,negative,negative
ML1927,negative,negative
ML1928,negative,negative
ML1929,negative,negative
ML1930,negative,negative
ML1931,positive,positive
ML1932,positive,positive
ML1933,negative,negative
ML1934,positive,positive
ML1935,positive,positive
ML1936,negative,negative
ML1937,negative,negative
ML1938,negative,negative
ML1939,negative,negative
ML1940,negative,negative
ML1941,negative,negative
ML1942,positive,positive
ML1943,negative,negative
ML1944,positive,positive
ML1945,positive,positive
ML1946,negative,negative
ML1947,negative,negative
ML1948,negative,negative
ML1949,positive,positive
ML1950,positive,positive
ML1951,negative,positive
ML1952,negative,positive
ML1953,negative,negative
ML1954,negative,negative
ML1955,negative,negative
ML1956,negative,negative
ML1957,positive,positive
ML1958,negative,negative
ML1959,negative,negative
ML1960,negative,negative
ML1961,negative,negative
ML1962,positive,positive
ML1963,negative,negative
ML1964,negative,negative
ML1965,negative,negative
ML1966,negative,negative
ML1967,negative,negative
ML1968,negative,negative
ML1969,negative,negative
ML1970,negative,negative
ML1971,negative,negative
ML1972,negative,negative
ML1973,negative,negative
ML1974,negative,negative
ML1975,negative,negative
ML1976,negative,negative
ML1977,negative,negative
ML1978,negative,negative
ML1979,negative,negative
ML1980,negative,negative
ML1981,negative,negative
ML1982,negative,negative
ML1983,negative,negative
ML1984,negative,negative
ML1985,negative,positive
ML1986,negative,negative
ML1987,negative,negative
ML1988,negative,negative
ML1989,negative,negative
ML1990,negative,negative
ML1991,negative,negative
ML1992,negative,negative
ML1993,negative,negative
ML1994,negative,negative
ML1995,negative,negative
ML1996,negative,negative
ML1997,negative,negative
ML1998,negative,negative
ML1999,negative,negative
ML2000,negative,negative
