Index,Actual Arousal,Predicted Arousal
ML1360,positive,positive
ML1361,positive,positive
ML1362,positive,positive
ML1363,positive,positive
ML1364,negative,negative
ML1365,positive,positive
ML1366,negative,negative
ML1367,positive,positive
ML1368,positive,positive
ML1369,negative,negative
ML1370,positive,positive
ML1371,negative,negative
ML1372,positive,positive
ML1373,positive,positive
ML1374,negative,negative
ML1375,positive,positive
ML1376,positive,positive
ML1377,positive,positive
ML1378,positive,positive
ML1379,positive,positive
ML1380,positive,positive
ML1381,negative,negative
ML1382,positive,positive
ML1383,negative,negative
ML1384,negative,negative
ML1385,negative,negative
ML1386,negative,negative
ML1387,negative,negative
ML1388,positive,positive
ML1389,negative,negative
ML1390,negative,negative
ML1391,negative,negative
ML1392,positive,positive
ML1393,negative,negative
ML1394,positive,positive
ML1395,positive,positive
ML1396,negative,negative
ML1397,negative,negative
ML1398,positive,positive
ML1399,positive,positive
ML1400,negative,negative
ML1401,positive,positive
ML1402,positive,positive
ML1403,negative,negative
ML1404,negative,negative
ML1405,positive,positive
ML1406,negative,negative
ML1407,negative,negative
ML1408,positive,positive
ML1409,positive,positive
ML1410,negative,negative
ML1411,positive,positive
ML1412,positive,positive
ML1413,negative,negative
ML1414,positive,positive
ML1415,negative,negative
ML1416,negative,negative
ML1417,negative,negative
ML1418,positive,positive
ML1419,positive,positive
ML1420,positive,positive
ML1421,positive,positive
ML1422,positive,positive
ML1423,positive,positive
ML1424,positive,positive
ML1425,negative,positive
ML1426,negative,negative
ML1427,negative,negative
ML1428,positive,positive
ML1429,negative,negative
ML1430,positive,positive
ML1431,negative,negative
ML1432,negative,negative
ML1433,positive,positive
ML1434,negative,negative
ML1435,negative,negative
ML1436,positive,positive
ML1437,negative,negative
ML1438,negative,negative
ML1439,negative,negative
ML1440,positive,positive
ML1441,negative,negative
ML1442,positive,positive
ML1443,positive,positive
ML1444,positive,positive
ML1445,positive,positive
ML1446,negative,negative
ML1447,positive,positive
ML1448,negative,negative
ML1449,positive,positive
ML1450,positive,positive
ML1451,positive,positive
ML1452,negative,negative
ML1453,positive,positive
ML1454,negative,negative
ML1455,negative,negative
ML1456,negative,negative
ML1457,negative,negative
ML1458,positive,positive
ML1459,positive,positive
ML1460,positive,positive
ML1461,positive,positive
ML1462,positive,positive
ML1463,positive,positive
ML1464,positive,negative
ML1465,positive,positive
ML1466,positive,positive
ML1467,negative,negative
ML1468,positive,positive
ML1469,positive,positive
ML1470,negative,negative
ML1471,positive,positive
ML1472,positive,positive
ML1473,positive,positive
ML1474,positive,positive
ML1475,negative,negative
ML1476,negative,negative
ML1477,negative,negative
ML1478,negative,negative
ML1479,negative,negative
ML1480,positive,positive
ML1481,positive,positive
ML1482,positive,positive
ML1483,positive,positive
ML1484,positive,positive
ML1485,negative,negative
ML1486,negative,negative
ML1487,positive,positive
ML1488,negative,negative
ML1489,negative,negative
ML1490,negative,negative
ML1491,positive,positive
ML1492,negative,negative
ML1493,positive,positive
ML1494,positive,positive
ML1495,positive,positive
ML1496,positive,positive
ML1497,positive,positive
ML1498,negative,negative
ML1499,positive,positive
ML1500,positive,positive
ML1501,positive,positive
ML1502,negative,negative
ML1503,positive,positive
ML1504,positive,positive
ML1505,negative,negative
ML1506,positive,positive
ML1507,negative,negative
ML1508,positive,positive
ML1509,negative,negative
ML1510,negative,negative
ML1511,positive,positive
ML1512,positive,positive
ML1513,positive,positive
ML1514,negative,negative
ML1515,positive,positive
ML1516,positive,positive
ML1517,negative,negative
ML1518,negative,negative
ML1519,negative,negative
ML1520,negative,negative
ML1521,negative,negative
ML1522,positive,positive
ML1523,negative,negative
ML1524,negative,negative
ML1525,negative,negative
ML1526,positive,positive
ML1527,negative,negative
ML1528,negative,negative
ML1529,negative,negative
ML1530,negative,negative
ML1531,negative,negative
ML1532,positive,positive
ML1533,positive,positive
ML1534,negative,negative
ML1535,negative,negative
ML1536,negative,negative
ML1537,positive,positive
ML1538,positive,positive
ML1539,positive,positive
ML1540,positive,positive
ML1541,positive,positive
ML1542,positive,positive
ML1543,positive,positive
ML1544,negative,negative
ML1545,positive,positive
ML1546,positive,positive
ML1547,positive,positive
ML1548,positive,positive
ML1549,negative,negative
ML1550,positive,positive
ML1551,negative,negative
ML1552,negative,negative
ML1553,negative,negative
ML1554,negative,negative
ML1555,negative,negative
ML1556,positive,positive
ML1557,positive,positive
ML1558,positive,positive
ML1559,negative,negative
ML1560,positive,positive
ML1561,negative,negative
ML1562,positive,positive
ML1563,positive,positive
ML1564,negative,negative
ML1565,negative,negative
ML1566,positive,positive
ML1567,positive,positive
ML1568,negative,negative
ML1569,positive,positive
ML1570,positive,positive
ML1571,negative,negative
ML1572,negative,negative
ML1573,positive,positive
ML1574,negative,negative
ML1575,positive,positive
ML1576,negative,negative
ML1577,negative,negative
ML1578,negative,negative
ML1579,negative,negative
ML1580,negative,negative
ML1581,negative,negative
ML1582,positive,positive
ML1583,positive,positive
ML1584,negative,negative
ML1585,negative,negative
ML1586,positive,positive
ML1587,negative,negative
ML1588,positive,positive
ML1589,positive,positive
ML1590,positive,positive
ML1591,positive,positive
ML1592,positive,positive
ML1593,positive,positive
ML1594,negative,negative
ML1595,negative,negative
ML1596,negative,negative
ML1597,negative,negative
ML1598,negative,negative
ML1599,positive,positive
ML1600,positive,positive
ML1601,negative,negative
ML1602,negative,negative
ML1603,negative,negative
ML1604,negative,negative
ML1605,negative,negative
ML1606,negative,negative
ML1607,positive,positive
ML1608,negative,negative
ML1609,positive,positive
ML1610,negative,negative
ML1611,negative,negative
ML1612,negative,negative
ML1613,negative,negative
ML1614,positive,positive
ML1615,positive,positive
ML1616,negative,negative
ML1617,positive,positive
ML1618,negative,negative
ML1619,positive,positive
ML1620,negative,negative
ML1621,positive,positive
ML1622,positive,positive
ML1623,negative,negative
ML1624,positive,positive
ML1625,negative,negative
ML1626,negative,negative
ML1627,negative,negative
ML1628,negative,negative
ML1629,negative,negative
ML1630,negative,negative
ML1631,negative,negative
ML1632,negative,negative
ML1633,negative,negative
ML1634,negative,negative
ML1635,negative,negative
ML1636,negative,negative
ML1637,negative,negative
ML1638,negative,negative
ML1639,negative,positive
ML1640,negative,negative
ML1641,negative,negative
ML1642,negative,negative
ML1643,negative,negative
ML1644,negative,negative
ML1645,negative,negative
ML1646,positive,positive
ML1647,negative,negative
ML1648,negative,negative
ML1649,negative,negative
ML1650,negative,negative
ML1651,negative,negative
ML1652,negative,negative
ML1653,negative,negative
ML1654,negative,negative
ML1655,negative,negative
ML1656,negative,negative
ML1657,positive,positive
ML1658,negative,negative
ML1659,negative,negative
ML1660,positive,positive
ML1661,negative,negative
ML1662,positive,positive
ML1663,negative,negative
ML1664,negative,negative
ML1665,negative,negative
ML1666,negative,negative
ML1667,positive,positive
ML1668,negative,negative
ML1669,negative,positive
ML1670,negative,positive
ML1671,negative,negative
ML1672,negative,negative
ML1673,negative,negative
ML1674,negative,negative
ML1675,positive,positive
ML1676,negative,negative
ML1677,negative,negative
ML1678,negative,negative
ML1679,negative,negative
ML1680,negative,negative
ML1681,negative,negative
ML1682,negative,negative
ML1683,negative,negative
ML1684,positive,negative
ML1685,negative,negative
ML1686,positive,positive
ML1687,negative,negative
ML1688,negative,negative
ML1689,negative,negative
ML1690,negative,positive
ML1691,negative,negative
ML1692,positive,positive
ML1693,negative,negative
ML1694,negative,negative
ML1695,positive,positive
ML1696,negative,negative
ML1697,negative,negative
ML1698,negative,negative
ML1699,positive,positive
ML1700,negative,negative
ML1701,positive,positive
ML1702,negative,negative
ML1703,negative,negative
ML1704,negative,negative
ML1705,negative,negative
ML1706,negative,negative
ML1707,negative,negative
ML1708,negative,negative
ML1709,negative,negative
ML1710,negative,negative
ML1711,negative,negative
ML1712,negative,negative
ML1713,positive,negative
ML1714,negative,negative
ML1715,negative,negative
ML1716,positive,positive
ML1717,positive,positive
ML1718,negative,negative
ML1719,negative,negative
ML1720,positive,positive
ML1721,negative,negative
ML1722,negative,negative
ML1723,negative,negative
ML1724,negative,negative
ML1725,negative,negative
ML1726,negative,negative
ML1727,positive,positive
ML1728,positive,positive
ML1729,positive,positive
ML1730,positive,positive
ML1731,negative,negative
ML1732,negative,negative
ML1733,negative,negative
ML1734,negative,negative
ML1735,negative,negative
ML1736,positive,negative
ML1737,positive,positive
ML1738,negative,negative
ML1739,negative,negative
ML1740,positive,positive
ML1741,positive,positive
ML1742,positive,positive
ML1743,positive,positive
ML1744,negative,negative
ML1745,positive,positive
ML1746,negative,negative
ML1747,negative,negative
ML1748,negative,negative
ML1749,negative,negative
ML1750,positive,positive
ML1751,negative,negative
ML1752,negative,negative
ML1753,negative,negative
ML1754,negative,negative
ML1755,negative,negative
ML1756,negative,negative
ML1757,positive,positive
ML1758,positive,positive
ML1759,negative,negative
ML1760,negative,negative
ML1761,positive,positive
ML1762,positive,positive
ML1763,positive,positive
ML1764,negative,negative
ML1765,positive,positive
ML1766,negative,negative
ML1767,positive,positive
ML1768,positive,positive
ML1769,negative,negative
ML1770,negative,negative
ML1771,negative,negative
ML1772,positive,positive
ML1773,positive,positive
ML1774,negative,negative
ML1775,negative,negative
ML1776,positive,positive
ML1777,positive,positive
ML1778,negative,negative
ML1779,negative,negative
ML1780,positive,positive
ML1781,positive,positive
ML1782,negative,negative
ML1783,positive,positive
ML1784,positive,positive
ML1785,negative,negative
ML1786,negative,negative
ML1787,negative,negative
ML1788,negative,negative
ML1789,negative,negative
ML1790,positive,positive
ML1791,positive,positive
ML1792,negative,negative
ML1793,positive,positive
ML1794,positive,positive
ML1795,negative,negative
ML1796,negative,negative
ML1797,positive,positive
ML1798,negative,negative
ML1799,negative,negative
ML1800,positive,positive
ML1801,negative,negative
ML1802,negative,negative
ML1803,negative,negative
ML1804,positive,positive
ML1805,negative,negative
ML1806,positive,positive
ML1807,positive,positive
ML1808,negative,negative
ML1809,positive,positive
ML1810,positive,positive
ML1811,negative,negative
ML1812,negative,negative
ML1813,negative,negative
ML1814,negative,negative
ML1815,negative,negative
ML1816,negative,negative
ML1817,positive,positive
ML1818,negative,negative
ML1819,positive,positive
ML1820,negative,negative
ML1821,negative,negative
ML1822,negative,negative
ML1823,negative,negative
ML1824,negative,negative
ML1825,negative,negative
ML1826,negative,negative
ML1827,positive,positive
ML1828,positive,positive
ML1829,negative,negative
ML1830,negative,negative
ML1831,negative,negative
ML1832,positive,positive
ML1833,negative,negative
ML1834,negative,negative
ML1835,positive,positive
ML1836,negative,negative
ML1837,negative,negative
ML1838,negative,negative
ML1839,positive,positive
ML1840,negative,negative
ML1841,negative,negative
ML1842,negative,negative
ML1843,negative,negative
ML1844,positive,positive
ML1845,negative,negative
ML1846,negative,negative
ML1847,positive,positive
ML1848,positive,positive
ML1849,positive,positive
ML1850,negative,negative
ML1851,negative,negative
ML1852,negative,negative
ML1853,negative,negative
ML1854,negative,negative
ML1855,negative,negative
ML1856,negative,negative
ML1857,positive,positive
ML1858,positive,positive
ML1859,negative,negative
ML1860,negative,negative
ML1861,negative,negative
ML1862,positive,positive
ML1863,negative,negative
ML1864,positive,positive
ML1865,negative,negative
ML1866,positive,positive
ML1867,positive,positive
ML1868,negative,negative
ML1869,positive,positive
ML1870,negative,negative
ML1871,negative,negative
ML1872,positive,positive
ML1873,positive,positive
ML1874,positive,positive
ML1875,negative,negative
ML1876,negative,negative
ML1877,positive,positive
ML1878,negative,negative
ML1879,negative,negative
ML1880,negative,negative
ML1881,negative,negative
ML1882,negative,positive
ML1883,positive,positive
ML1884,negative,negative
ML1885,negative,negative
ML1886,negative,negative
ML1887,negative,negative
ML1888,negative,negative
ML1889,negative,negative
ML1890,negative,negative
ML1891,negative,negative
ML1892,negative,negative
ML1893,negative,positive
ML1894,negative,negative
ML1895,negative,negative
ML1896,negative,negative
ML1897,negative,negative
ML1898,negative,negative
ML1899,negative,negative
ML1900,negative,negative
ML1901,negative,negative
ML1902,positive,positive
ML1903,negative,negative
ML1904,negative,negative
ML1905,positive,positive
ML1906,positive,positive
ML1907,negative,negative
ML1908,positive,positive
ML1909,positive,positive
ML1910,negative,negative
ML1911,negative,negative
ML1912,positive,positive
ML1913,negative,negative
ML1914,positive,positive
ML1915,negative,negative
ML1916,negative,negative
ML1917,positive,positive
ML1918,negative,negative
ML1919,negative,negative
ML1920,negative,negative
ML1921,positive,positive
ML1922,positive,positive
ML1923,positive,positive
ML1924,positive,positive
ML1925,positive,positive
ML1926,positive,positive
ML1927,positive,positive
ML1928,negative,negative
ML1929,negative,negative
ML1930,negative,negative
ML1931,negative,negative
ML1932,negative,negative
ML1933,negative,negative
ML1934,negative,negative
ML1935,negative,negative
ML1936,negative,positive
ML1937,positive,positive
ML1938,positive,positive
ML1939,negative,negative
ML1940,positive,positive
ML1941,negative,negative
ML1942,negative,negative
ML1943,negative,negative
ML1944,negative,negative
ML1945,negative,negative
ML1946,positive,positive
ML1947,positive,positive
ML1948,positive,positive
ML1949,negative,negative
ML1950,negative,negative
ML1951,negative,positive
ML1952,positive,positive
ML1953,negative,negative
ML1954,negative,negative
ML1955,negative,negative
ML1956,positive,positive
ML1957,negative,negative
ML1958,negative,negative
ML1959,negative,negative
ML1960,negative,negative
ML1961,positive,positive
ML1962,negative,negative
ML1963,negative,negative
ML1964,negative,negative
ML1965,positive,positive
ML1966,positive,positive
ML1967,positive,positive
ML1968,positive,positive
ML1969,negative,negative
ML1970,negative,negative
ML1971,positive,positive
ML1972,positive,positive
ML1973,positive,positive
ML1974,positive,positive
ML1975,negative,negative
ML1976,positive,positive
ML1977,negative,negative
ML1978,negative,negative
ML1979,positive,positive
ML1980,positive,positive
ML1981,positive,positive
ML1982,positive,positive
ML1983,positive,positive
ML1984,positive,positive
ML1985,positive,positive
ML1986,positive,positive
ML1987,positive,positive
ML1988,positive,positive
ML1989,positive,positive
ML1990,positive,positive
ML1991,positive,positive
ML1992,positive,positive
ML1993,positive,positive
ML1994,positive,positive
ML1995,positive,positive
ML1996,positive,positive
ML1997,positive,positive
ML1998,positive,positive
ML1999,positive,positive
ML2000,positive,positive
