Index,actual mood,predicted mood
ML1257,sad,sad
ML1258,happy,happy
ML1259,sad,relaxed
ML1260,relaxed,relaxed
ML1261,happy,happy
ML1262,happy,relaxed
ML1263,happy,relaxed
ML1264,happy,happy
ML1265,relaxed,relaxed
ML1266,happy,relaxed
ML1267,sad,sad
ML1268,relaxed,relaxed
ML1269,sad,angry
ML1270,happy,happy
ML1271,relaxed,relaxed
ML1272,angry,angry
ML1273,sad,sad
ML1274,happy,happy
ML1275,sad,sad
ML1276,happy,happy
ML1277,happy,happy
ML1278,relaxed,relaxed
ML1279,sad,sad
ML1280,angry,angry
ML1281,angry,angry
ML1282,angry,angry
ML1283,angry,angry
ML1284,sad,angry
ML1285,relaxed,relaxed
ML1286,relaxed,relaxed
ML1287,sad,angry
ML1288,sad,sad
ML1289,sad,sad
ML1290,angry,angry
ML1291,relaxed,relaxed
ML1292,happy,happy
ML1293,relaxed,relaxed
ML1294,angry,angry
ML1295,angry,angry
ML1296,angry,angry
ML1297,happy,happy
ML1298,happy,happy
ML1299,happy,happy
ML1300,happy,happy
ML1301,sad,sad
ML1302,sad,sad
ML1303,angry,angry
ML1304,angry,angry
ML1305,sad,sad
ML1306,sad,angry
ML1307,relaxed,relaxed
ML1308,happy,happy
ML1309,angry,relaxed
ML1310,relaxed,relaxed
ML1311,relaxed,relaxed
ML1312,relaxed,relaxed
ML1313,sad,angry
ML1314,relaxed,relaxed
ML1315,sad,angry
ML1316,sad,sad
ML1317,happy,happy
ML1318,happy,happy
ML1319,happy,happy
ML1320,happy,happy
ML1321,angry,angry
ML1322,sad,angry
ML1323,relaxed,relaxed
ML1324,relaxed,relaxed
ML1325,relaxed,relaxed
ML1326,happy,happy
ML1327,happy,happy
ML1328,angry,angry
ML1329,sad,sad
ML1330,angry,angry
ML1331,happy,happy
ML1332,relaxed,relaxed
ML1333,happy,happy
ML1334,relaxed,relaxed
ML1335,sad,sad
ML1336,sad,sad
ML1337,relaxed,relaxed
ML1338,relaxed,relaxed
ML1339,sad,sad
ML1340,relaxed,relaxed
ML1341,sad,sad
ML1342,angry,angry
ML1343,angry,angry
ML1344,sad,sad
ML1345,happy,happy
ML1346,relaxed,relaxed
ML1347,sad,sad
ML1348,sad,sad
ML1349,sad,sad
ML1350,happy,happy
ML1351,happy,happy
ML1352,angry,angry
ML1353,happy,happy
ML1354,happy,happy
ML1355,happy,happy
ML1356,relaxed,relaxed
ML1357,happy,happy
ML1358,happy,happy
ML1359,happy,happy
ML1360,happy,happy
ML1361,happy,happy
ML1362,happy,happy
ML1363,angry,angry
ML1364,sad,angry
ML1365,angry,angry
ML1366,relaxed,relaxed
ML1367,angry,angry
ML1368,happy,happy
ML1369,sad,sad
ML1370,happy,happy
ML1371,relaxed,relaxed
ML1372,happy,happy
ML1373,happy,happy
ML1374,sad,sad
ML1375,angry,angry
ML1376,happy,happy
ML1377,angry,angry
ML1378,angry,angry
ML1379,angry,angry
ML1380,happy,relaxed
ML1381,relaxed,relaxed
ML1382,happy,happy
ML1383,relaxed,relaxed
ML1384,relaxed,relaxed
ML1385,relaxed,relaxed
ML1386,relaxed,relaxed
ML1387,sad,sad
ML1388,angry,angry
ML1389,relaxed,relaxed
ML1390,relaxed,relaxed
ML1391,relaxed,relaxed
ML1392,angry,angry
ML1393,sad,sad
ML1394,angry,angry
ML1395,happy,happy
ML1396,relaxed,relaxed
ML1397,relaxed,relaxed
ML1398,happy,happy
ML1399,happy,happy
ML1400,relaxed,relaxed
ML1401,angry,angry
ML1402,happy,happy
ML1403,sad,sad
ML1404,sad,relaxed
ML1405,happy,happy
ML1406,sad,sad
ML1407,relaxed,relaxed
ML1408,happy,happy
ML1409,happy,happy
ML1410,relaxed,relaxed
ML1411,angry,angry
ML1412,angry,angry
ML1413,sad,sad
ML1414,angry,angry
ML1415,relaxed,relaxed
ML1416,sad,sad
ML1417,sad,sad
ML1418,happy,happy
ML1419,angry,angry
ML1420,happy,happy
ML1421,angry,angry
ML1422,angry,angry
ML1423,angry,happy
ML1424,happy,happy
ML1425,relaxed,relaxed
ML1426,sad,relaxed
ML1427,relaxed,relaxed
ML1428,happy,happy
ML1429,relaxed,relaxed
ML1430,happy,happy
ML1431,relaxed,relaxed
ML1432,sad,sad
ML1433,happy,happy
ML1434,sad,sad
ML1435,relaxed,relaxed
ML1436,happy,happy
ML1437,relaxed,relaxed
ML1438,sad,angry
ML1439,sad,sad
ML1440,happy,happy
ML1441,relaxed,relaxed
ML1442,angry,angry
ML1443,happy,happy
ML1444,happy,happy
ML1445,happy,happy
ML1446,sad,sad
ML1447,happy,happy
ML1448,relaxed,relaxed
ML1449,happy,happy
ML1450,angry,angry
ML1451,angry,angry
ML1452,sad,sad
ML1453,angry,angry
ML1454,relaxed,relaxed
ML1455,sad,sad
ML1456,sad,sad
ML1457,relaxed,relaxed
ML1458,happy,happy
ML1459,angry,angry
ML1460,angry,angry
ML1461,angry,angry
ML1462,angry,angry
ML1463,angry,angry
ML1464,happy,happy
ML1465,angry,angry
ML1466,angry,angry
ML1467,sad,sad
ML1468,happy,happy
ML1469,angry,angry
ML1470,sad,sad
ML1471,happy,happy
ML1472,angry,angry
ML1473,happy,happy
ML1474,angry,angry
ML1475,sad,sad
ML1476,sad,angry
ML1477,sad,sad
ML1478,relaxed,relaxed
ML1479,relaxed,relaxed
ML1480,happy,happy
ML1481,happy,happy
ML1482,angry,angry
ML1483,angry,angry
ML1484,angry,angry
ML1485,relaxed,relaxed
ML1486,sad,sad
ML1487,happy,angry
ML1488,sad,sad
ML1489,sad,sad
ML1490,relaxed,relaxed
ML1491,angry,angry
ML1492,relaxed,relaxed
ML1493,angry,angry
ML1494,angry,angry
ML1495,happy,happy
ML1496,happy,happy
ML1497,happy,happy
ML1498,sad,sad
ML1499,happy,happy
ML1500,happy,happy
ML1501,angry,angry
ML1502,relaxed,relaxed
ML1503,happy,happy
ML1504,angry,angry
ML1505,sad,sad
ML1506,happy,happy
ML1507,sad,sad
ML1508,happy,happy
ML1509,sad,sad
ML1510,sad,angry
ML1511,happy,happy
ML1512,angry,angry
ML1513,angry,angry
ML1514,relaxed,relaxed
ML1515,happy,happy
ML1516,happy,happy
ML1517,sad,sad
ML1518,relaxed,relaxed
ML1519,sad,sad
ML1520,sad,sad
ML1521,relaxed,relaxed
ML1522,angry,angry
ML1523,sad,sad
ML1524,sad,sad
ML1525,relaxed,relaxed
ML1526,angry,angry
ML1527,sad,angry
ML1528,sad,sad
ML1529,sad,sad
ML1530,sad,sad
ML1531,relaxed,relaxed
ML1532,happy,happy
ML1533,angry,angry
ML1534,sad,sad
ML1535,sad,sad
ML1536,relaxed,relaxed
ML1537,angry,angry
ML1538,angry,angry
ML1539,angry,angry
ML1540,happy,happy
ML1541,angry,angry
ML1542,angry,angry
ML1543,angry,angry
ML1544,sad,sad
ML1545,angry,angry
ML1546,angry,angry
ML1547,angry,angry
ML1548,angry,angry
ML1549,relaxed,relaxed
ML1550,angry,angry
ML1551,relaxed,relaxed
ML1552,sad,sad
ML1553,sad,sad
ML1554,relaxed,relaxed
ML1555,sad,sad
ML1556,happy,happy
ML1557,angry,angry
ML1558,angry,angry
ML1559,relaxed,relaxed
ML1560,angry,angry
ML1561,relaxed,relaxed
ML1562,happy,happy
ML1563,happy,happy
ML1564,relaxed,relaxed
ML1565,sad,sad
ML1566,angry,angry
ML1567,happy,happy
ML1568,relaxed,relaxed
ML1569,happy,happy
ML1570,happy,happy
ML1571,sad,sad
ML1572,relaxed,relaxed
ML1573,happy,happy
ML1574,relaxed,relaxed
ML1575,happy,happy
ML1576,relaxed,relaxed
ML1577,relaxed,relaxed
ML1578,relaxed,relaxed
ML1579,relaxed,relaxed
ML1580,relaxed,relaxed
ML1581,relaxed,relaxed
ML1582,angry,angry
ML1583,angry,angry
ML1584,sad,happy
ML1585,relaxed,relaxed
ML1586,happy,happy
ML1587,sad,sad
ML1588,happy,happy
ML1589,happy,happy
ML1590,angry,relaxed
ML1591,angry,angry
ML1592,angry,angry
ML1593,angry,happy
ML1594,sad,angry
ML1595,relaxed,angry
ML1596,sad,angry
ML1597,sad,relaxed
ML1598,sad,happy
ML1599,angry,sad
ML1600,angry,angry
ML1601,sad,sad
ML1602,sad,happy
ML1603,relaxed,happy
ML1604,sad,angry
ML1605,sad,happy
ML1606,relaxed,relaxed
ML1607,angry,angry
ML1608,sad,relaxed
ML1609,angry,angry
ML1610,sad,sad
ML1611,relaxed,relaxed
ML1612,sad,angry
ML1613,sad,sad
ML1614,angry,happy
ML1615,angry,angry
ML1616,relaxed,happy
ML1617,angry,sad
ML1618,sad,relaxed
ML1619,angry,happy
ML1620,sad,sad
ML1621,angry,happy
ML1622,angry,happy
ML1623,sad,happy
ML1624,angry,angry
ML1625,relaxed,relaxed
ML1626,relaxed,angry
ML1627,relaxed,angry
ML1628,relaxed,relaxed
ML1629,relaxed,happy
ML1630,relaxed,relaxed
ML1631,relaxed,relaxed
ML1632,relaxed,happy
ML1633,relaxed,angry
ML1634,relaxed,relaxed
ML1635,relaxed,happy
ML1636,relaxed,happy
ML1637,relaxed,angry
ML1638,relaxed,sad
ML1639,relaxed,relaxed
ML1640,relaxed,happy
ML1641,sad,happy
ML1642,relaxed,relaxed
ML1643,relaxed,relaxed
ML1644,relaxed,happy
ML1645,relaxed,angry
ML1646,angry,relaxed
ML1647,relaxed,relaxed
ML1648,sad,happy
ML1649,relaxed,relaxed
ML1650,relaxed,relaxed
ML1651,sad,relaxed
ML1652,sad,happy
ML1653,sad,relaxed
ML1654,sad,happy
ML1655,relaxed,relaxed
ML1656,relaxed,happy
ML1657,angry,relaxed
ML1658,relaxed,relaxed
ML1659,relaxed,relaxed
ML1660,angry,relaxed
ML1661,sad,sad
ML1662,angry,relaxed
ML1663,sad,relaxed
ML1664,relaxed,relaxed
ML1665,sad,relaxed
ML1666,relaxed,relaxed
ML1667,angry,relaxed
ML1668,sad,relaxed
ML1669,relaxed,relaxed
ML1670,relaxed,relaxed
ML1671,relaxed,relaxed
ML1672,relaxed,relaxed
ML1673,relaxed,relaxed
ML1674,relaxed,relaxed
ML1675,angry,relaxed
ML1676,relaxed,relaxed
ML1677,relaxed,sad
ML1678,relaxed,relaxed
ML1679,relaxed,relaxed
ML1680,relaxed,relaxed
ML1681,relaxed,happy
ML1682,relaxed,relaxed
ML1683,relaxed,happy
ML1684,angry,relaxed
ML1685,relaxed,relaxed
ML1686,angry,angry
ML1687,relaxed,relaxed
ML1688,relaxed,relaxed
ML1689,sad,angry
ML1690,sad,happy
ML1691,sad,happy
ML1692,angry,relaxed
ML1693,sad,sad
ML1694,sad,angry
ML1695,angry,angry
ML1696,sad,angry
ML1697,relaxed,relaxed
ML1698,sad,relaxed
ML1699,angry,angry
ML1700,sad,sad
ML1701,angry,happy
ML1702,sad,sad
ML1703,relaxed,relaxed
ML1704,sad,happy
ML1705,relaxed,relaxed
ML1706,relaxed,relaxed
ML1707,relaxed,happy
ML1708,relaxed,relaxed
ML1709,relaxed,happy
ML1710,sad,relaxed
ML1711,relaxed,relaxed
ML1712,relaxed,relaxed
ML1713,angry,relaxed
ML1714,sad,angry
ML1715,sad,sad
ML1716,angry,sad
ML1717,angry,happy
ML1718,relaxed,angry
ML1719,sad,angry
ML1720,angry,relaxed
ML1721,relaxed,relaxed
ML1722,relaxed,relaxed
ML1723,sad,relaxed
ML1724,sad,relaxed
ML1725,relaxed,relaxed
ML1726,sad,relaxed
ML1727,angry,angry
ML1728,angry,happy
ML1729,angry,relaxed
ML1730,angry,angry
ML1731,relaxed,sad
ML1732,relaxed,relaxed
ML1733,sad,relaxed
ML1734,sad,relaxed
ML1735,relaxed,relaxed
ML1736,angry,relaxed
ML1737,angry,sad
ML1738,relaxed,angry
ML1739,relaxed,relaxed
ML1740,angry,angry
ML1741,angry,relaxed
ML1742,angry,relaxed
ML1743,angry,relaxed
ML1744,relaxed,relaxed
ML1745,angry,happy
ML1746,relaxed,relaxed
ML1747,sad,relaxed
ML1748,relaxed,happy
ML1749,relaxed,happy
ML1750,angry,angry
ML1751,sad,angry
ML1752,relaxed,relaxed
ML1753,relaxed,relaxed
ML1754,sad,relaxed
ML1755,relaxed,relaxed
ML1756,relaxed,relaxed
ML1757,angry,angry
ML1758,angry,angry
ML1759,sad,angry
ML1760,sad,angry
ML1761,angry,sad
ML1762,angry,sad
ML1763,angry,angry
ML1764,relaxed,angry
ML1765,angry,sad
ML1766,sad,sad
ML1767,angry,angry
ML1768,angry,happy
ML1769,sad,sad
ML1770,sad,angry
ML1771,relaxed,relaxed
ML1772,angry,angry
ML1773,angry,sad
ML1774,sad,happy
ML1775,relaxed,happy
ML1776,angry,relaxed
ML1777,angry,sad
ML1778,sad,sad
ML1779,relaxed,relaxed
ML1780,angry,happy
ML1781,angry,angry
ML1782,sad,relaxed
ML1783,angry,happy
ML1784,angry,happy
ML1785,relaxed,relaxed
ML1786,sad,relaxed
ML1787,sad,happy
ML1788,relaxed,relaxed
ML1789,relaxed,relaxed
ML1790,angry,relaxed
ML1791,angry,relaxed
ML1792,sad,angry
ML1793,angry,angry
ML1794,angry,angry
ML1795,sad,happy
ML1796,sad,angry
ML1797,angry,angry
ML1798,relaxed,relaxed
ML1799,sad,sad
ML1800,angry,angry
ML1801,sad,happy
ML1802,sad,relaxed
ML1803,relaxed,relaxed
ML1804,angry,angry
ML1805,sad,happy
ML1806,angry,happy
ML1807,angry,angry
ML1808,sad,relaxed
ML1809,angry,relaxed
ML1810,angry,angry
ML1811,sad,angry
ML1812,sad,happy
ML1813,relaxed,angry
ML1814,sad,sad
ML1815,relaxed,angry
ML1816,relaxed,relaxed
ML1817,angry,relaxed
ML1818,sad,sad
ML1819,angry,happy
ML1820,relaxed,happy
ML1821,relaxed,sad
ML1822,sad,relaxed
ML1823,sad,angry
ML1824,sad,angry
ML1825,sad,sad
ML1826,sad,relaxed
ML1827,angry,happy
ML1828,angry,angry
ML1829,relaxed,angry
ML1830,relaxed,relaxed
ML1831,relaxed,angry
ML1832,angry,relaxed
ML1833,relaxed,happy
ML1834,relaxed,angry
ML1835,angry,angry
ML1836,sad,relaxed
ML1837,relaxed,sad
ML1838,sad,happy
ML1839,angry,relaxed
ML1840,sad,happy
ML1841,sad,happy
ML1842,sad,angry
ML1843,relaxed,relaxed
ML1844,angry,relaxed
ML1845,sad,relaxed
ML1846,sad,sad
ML1847,angry,happy
ML1848,angry,relaxed
ML1849,angry,happy
ML1850,relaxed,relaxed
ML1851,sad,angry
ML1852,sad,angry
ML1853,sad,angry
ML1854,sad,angry
ML1855,sad,angry
ML1856,sad,happy
ML1857,angry,angry
ML1858,angry,angry
ML1859,sad,relaxed
ML1860,relaxed,angry
ML1861,sad,angry
ML1862,angry,angry
ML1863,relaxed,relaxed
ML1864,angry,sad
ML1865,relaxed,sad
ML1866,angry,angry
ML1867,angry,angry
ML1868,relaxed,happy
ML1869,angry,happy
ML1870,relaxed,happy
ML1871,sad,angry
ML1872,angry,angry
ML1873,angry,happy
ML1874,angry,angry
ML1875,relaxed,relaxed
ML1876,sad,happy
ML1877,angry,angry
ML1878,relaxed,relaxed
ML1879,relaxed,happy
ML1880,relaxed,relaxed
ML1881,relaxed,angry
ML1882,sad,angry
ML1883,angry,angry
ML1884,relaxed,relaxed
ML1885,relaxed,angry
ML1886,relaxed,happy
ML1887,relaxed,happy
ML1888,relaxed,relaxed
ML1889,relaxed,angry
ML1890,relaxed,relaxed
ML1891,relaxed,relaxed
ML1892,relaxed,relaxed
ML1893,relaxed,relaxed
ML1894,relaxed,happy
ML1895,sad,angry
ML1896,relaxed,angry
ML1897,relaxed,relaxed
ML1898,relaxed,happy
ML1899,sad,angry
ML1900,relaxed,angry
ML1901,relaxed,sad
ML1902,angry,angry
ML1903,sad,happy
ML1904,sad,sad
ML1905,angry,angry
ML1906,angry,angry
ML1907,sad,happy
ML1908,angry,angry
ML1909,angry,sad
ML1910,sad,sad
ML1911,relaxed,angry
ML1912,angry,angry
ML1913,relaxed,happy
ML1914,angry,angry
ML1915,sad,angry
ML1916,sad,angry
ML1917,angry,angry
ML1918,sad,angry
ML1919,relaxed,relaxed
ML1920,sad,angry
ML1921,angry,sad
ML1922,angry,happy
ML1923,angry,angry
ML1924,angry,happy
ML1925,angry,relaxed
ML1926,angry,angry
ML1927,angry,angry
ML1928,sad,happy
ML1929,sad,angry
ML1930,sad,happy
ML1931,relaxed,happy
ML1932,relaxed,relaxed
ML1933,sad,happy
ML1934,relaxed,happy
ML1935,relaxed,angry
ML1936,sad,happy
ML1937,angry,happy
ML1938,angry,relaxed
ML1939,sad,sad
ML1940,angry,angry
ML1941,sad,happy
ML1942,relaxed,happy
ML1943,sad,sad
ML1944,relaxed,sad
ML1945,relaxed,relaxed
ML1946,angry,angry
ML1947,angry,angry
ML1948,angry,happy
ML1949,relaxed,relaxed
ML1950,relaxed,relaxed
ML1951,sad,happy
ML1952,angry,relaxed
ML1953,sad,angry
ML1954,sad,happy
ML1955,sad,relaxed
ML1956,angry,happy
ML1957,relaxed,relaxed
ML1958,sad,sad
ML1959,sad,sad
ML1960,sad,sad
ML1961,angry,happy
ML1962,relaxed,relaxed
ML1963,sad,sad
ML1964,sad,sad
ML1965,angry,angry
ML1966,angry,angry
ML1967,angry,angry
ML1968,angry,happy
ML1969,sad,angry
ML1970,sad,sad
ML1971,angry,happy
ML1972,angry,sad
ML1973,angry,angry
ML1974,angry,angry
ML1975,sad,angry
ML1976,angry,relaxed
ML1977,sad,sad
ML1978,sad,angry
ML1979,angry,angry
ML1980,angry,angry
ML1981,angry,angry
ML1982,angry,angry
ML1983,angry,angry
ML1984,angry,angry
ML1985,angry,happy
ML1986,angry,angry
ML1987,angry,angry
ML1988,angry,angry
ML1989,angry,angry
ML1990,angry,happy
ML1991,angry,happy
ML1992,angry,angry
ML1993,angry,angry
ML1994,angry,relaxed
ML1995,angry,happy
ML1996,angry,angry
ML1997,angry,angry
ML1998,angry,happy
ML1999,angry,angry
ML2000,angry,angry
